Id,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,Eggplant,2023-06-13,85,"(1, 1, 1)",Dead,69.78836699950189,13.796214969561897,98618.89663580856
2,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,74.8050315478682,24.74682892349057,99428.90877761113
3,Cucumber,2023-02-25,193,"(3, 1, 1)",Dead,73.23596906207399,22.62038232394392,94421.04474835355
4,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,72.80892480782269,27.191782946380957,98016.2192047242
5,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,72.24284953692515,27.73267322191048,103193.37494552994
6,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,66.82203523184285,25.760031002863087,100814.81897234826
7,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,69.70236829227215,25.64177502654102,95955.05488877388
8,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,73.76800520388062,19.120473199284085,95231.07309352866
9,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,71.99578004497721,25.910132212386294,96275.6080154628
10,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,70.3979103165629,26.827894695309684,96107.9772527684
11,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,72.36458498015794,26.12757050067641,96259.76913492328
12,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,71.3301192047136,26.241555956038223,98313.1855635542
