Id,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,Eggplant,2023-06-13,85,"(1, 1, 1)",Dead,70.59447149108186,14.120861487918214,98676.69606601646
2,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,76.27725415379383,25.1084806606692,99261.53895930624
3,Cucumber,2023-02-25,193,"(3, 1, 1)",Dead,74.32165615065836,22.78856612628212,94642.61393159816
4,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,73.55530174041223,27.66065610602675,97831.67375263576
5,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,73.43989456534136,28.01046875315376,103364.55608981603
6,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,67.65727967565176,26.12753707118436,100873.58010581158
7,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,71.20077998608392,25.85371071288074,96084.05317226796
8,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,75.14564495251847,19.618482230751034,95464.5116967634
9,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,73.63536062016478,26.40664563333753,96299.6202300512
10,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,71.60636038447554,27.1984304410863,96288.24359560075
11,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,73.31386748956272,26.579053850404463,96180.4331443696
12,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,71.85669446628,26.738212357755422,98395.18434546236
