Id,Timestamp,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,2023-09-06 17:07:06.775161,Eggplant,2023-06-13,85,"(1, 1, 1)",Healthy,55.32411817324099,20.789924246866583,98598.70220338517
2,2023-09-06 17:07:06.775287,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,64.66743972908083,23.21927793174433,99046.36466926687
3,2023-09-06 17:07:06.775357,Cucumber,2023-02-25,193,"(3, 1, 1)",Healthy,64.78911019606338,21.406825688311137,95192.6787198716
4,2023-09-06 17:07:06.775418,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,62.48946365300272,26.786613774439534,97763.2532444979
5,2023-09-06 17:07:06.775479,Potato,2023-08-30,7,"(1, 2, 1)",In Danger,60.86033508239605,30.903341714678778,103521.9521171211
6,2023-09-06 17:07:06.775538,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,57.190902723193126,23.598618153439542,100321.12873037804
7,2023-09-06 17:07:06.775595,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,60.99186940002165,24.551683009463133,96460.51126453409
8,2023-09-06 17:07:06.775650,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,63.28394988043997,23.935457930203615,96091.34171059325
9,2023-09-06 17:07:06.775705,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,61.92308818709956,25.527163028702486,96483.39712838626
10,2023-09-06 17:07:06.775760,Chili,2023-02-16,202,"(2, 3, 1)",In Danger,63.82681091973253,31.496291262374847,96250.07205148996
11,2023-09-06 17:07:06.775813,Eggplant,2023-06-20,78,"(3, 3, 1)",In Danger,66.06201489343188,32.3984043304139,96177.16836169187
12,2023-09-06 17:07:06.775870,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,65.57198621075356,25.357613673918188,98855.73910386341
