Id,Timestamp,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,2023-09-06 16:41:19.235520,Eggplant,2023-06-13,85,"(1, 1, 1)",Healthy,64.9295398837698,23.061664921120144,98586.50673378742
2,2023-09-06 16:41:19.235615,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,67.71881457030001,23.56858548981475,99396.60336763645
3,2023-09-06 16:41:19.235669,Cucumber,2023-02-25,193,"(3, 1, 1)",Healthy,68.51619467943331,22.142328152394615,95321.16754307829
4,2023-09-06 16:41:19.235719,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,69.21454115737858,26.254950154121993,97253.99454000882
5,2023-09-06 16:41:19.235766,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,67.94979334067745,26.908648000772224,103355.5138512775
6,2023-09-06 16:41:19.235813,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,61.906607747934814,24.375324273305555,101189.3052099821
7,2023-09-06 16:41:19.235859,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,64.67860067235858,24.670312130387796,95686.06857325192
8,2023-09-06 16:41:19.235906,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,68.42538278265381,19.53467864740809,95313.40811051732
9,2023-09-06 16:41:19.235952,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,68.14905990150865,24.938940681800254,96526.44241716611
10,2023-09-06 16:41:19.235999,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,63.66100195685056,26.149131183845753,95970.97510792481
11,2023-09-06 16:41:19.236044,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,69.4067899846355,24.650813994267114,96657.39542865146
12,2023-09-06 16:41:19.236089,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,66.47575067380478,24.89901064912322,99092.05711120242
