Id,Timestamp,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,2023-09-06 16:45:42.254226,Eggplant,2023-06-13,85,"(1, 1, 1)",Healthy,60.75271622480767,21.96846345764729,98837.95950022181
2,2023-09-06 16:45:42.254348,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,61.420741058201145,22.03133374298842,99713.90871970778
3,2023-09-06 16:45:42.254412,Cucumber,2023-02-25,193,"(3, 1, 1)",In Danger,62.63344596946494,22.07477467091322,94643.19808612096
4,2023-09-06 16:45:42.254464,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,64.00811648002444,24.561939663958334,97274.2804683191
5,2023-09-06 16:45:42.254513,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,62.64121318357124,25.141257867355744,103270.11853095975
6,2023-09-06 16:45:42.254562,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,60.24983145418346,22.579227432062506,101173.33257119481
7,2023-09-06 16:45:42.254610,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,59.615114896284425,23.17820713212834,95712.28030254961
8,2023-09-06 16:45:42.254658,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,63.917001592326585,21.148930608031115,95598.73233782992
9,2023-09-06 16:45:42.254704,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,63.06898635919546,23.392176545203746,96496.41385896983
10,2023-09-06 16:45:42.254750,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,59.74171600529993,24.381340415659,95891.96829511678
11,2023-09-06 16:45:42.254796,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,65.02737069542282,23.52210514991664,96204.5362949236
12,2023-09-06 16:45:42.254842,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,61.7237882026908,23.482435869484924,99217.73305520721
