Id,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,Eggplant,2023-06-13,85,"(1, 1, 1)",Dead,71.8209447996872,14.553732850637138,98613.97036841536
2,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,78.05087587851526,25.67586580357476,99175.7798836609
3,Cucumber,2023-02-25,193,"(3, 1, 1)",Dead,75.52034212436367,23.58021726381664,94941.7107976453
4,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,76.2483785348616,28.548715780743795,97505.91627298636
5,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,75.49172553289918,28.55143262409308,103627.82887606951
6,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,69.84262261164271,26.47842460479604,100944.22541965764
7,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,73.83590073165112,26.3828204650838,95977.20474286086
8,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,76.33795763763594,20.203839872564124,95320.05760641908
9,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,76.04655256595098,26.778811170594977,96628.391638701
10,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,74.46332689726209,27.74119519058256,95939.45689518529
11,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,76.2639418245341,27.204025181106665,96013.75236144918
12,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,74.95055968415585,27.261547046340432,98563.90520756456
