Id,Timestamp,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,2023-09-06 16:41:19.227466,Eggplant,2023-06-13,85,"(1, 1, 1)",Healthy,66.44597289004716,23.360653558499138,98722.85289867481
2,2023-09-06 16:41:19.227593,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,69.11535501409728,23.815698878499084,99356.71393814085
3,2023-09-06 16:41:19.227665,Cucumber,2023-02-25,193,"(3, 1, 1)",Healthy,69.86493586459372,22.07965136825294,95478.58876032176
4,2023-09-06 16:41:19.227727,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,70.40905583709706,26.62275849554775,97205.66634519803
5,2023-09-06 16:41:19.227787,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,69.72864067294549,27.09979231595483,103433.44167187916
6,2023-09-06 16:41:19.227861,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,63.1683678637972,24.737000531759783,101102.90486577147
7,2023-09-06 16:41:19.227912,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,65.77199221038856,25.05866611032299,95920.38913823936
8,2023-09-06 16:41:19.227957,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,69.79285443077296,19.34921544937433,95332.57624210627
9,2023-09-06 16:41:19.228002,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,69.22631584593947,25.11640249414538,96517.71533877317
10,2023-09-06 16:41:19.228047,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,65.47078050713452,26.464211582288808,96173.1040157595
11,2023-09-06 16:41:19.228094,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,70.93104696028816,25.180713980855415,96481.209519547
12,2023-09-06 16:41:19.228151,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,67.92852000689342,25.388863321525022,99032.57660901631
