Id,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,Eggplant,2023-06-13,85,"(1, 1, 1)",Dead,71.20038239895209,14.28212234771182,98785.00246594012
2,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,76.89717871436527,25.359243188624934,99264.2271846824
3,Cucumber,2023-02-25,193,"(3, 1, 1)",Dead,75.01078510715948,23.111281789120408,94832.94899903832
4,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,75.47111774349304,28.103765464130987,97720.48553843446
5,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,74.5866623328975,28.22749111219,103569.58946608372
6,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,69.08230089528541,26.31989773093756,100704.69495407707
7,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,72.86783735928876,26.013368326059275,96022.189430202
8,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,75.67950988217012,19.883059435314344,95230.93821238464
9,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,74.23947738548169,26.60429460481287,96548.2085881156
10,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,73.29470782176219,27.406402489286236,96117.1879332181
11,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,74.91794452816582,26.70758670356904,95994.07559069566
12,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,73.09474952624647,27.14062643331985,98622.516038045
